date,close,news
2010/7/17,0.04951,世界第一家比特币交易平台Mt.Gox在东京创立
2010/7/18,0.08584,
2010/7/19,0.0808,
2010/7/20,0.07474,
2010/7/21,0.07921,
2010/7/22,0.0505,
2010/7/23,0.06262,
2010/7/24,0.05454,
2010/7/25,0.0505,
2010/7/26,0.056,
2010/7/27,0.06,
2010/7/28,0.0589,
2010/7/29,0.0699,
2010/7/30,0.0627,
2010/7/31,0.06785,
2010/8/1,0.0611,
2010/8/2,0.06,
2010/8/3,0.06,
2010/8/4,0.057,
2010/8/5,0.061,
2010/8/6,0.0623,
2010/8/7,0.059,
2010/8/8,0.0609,
2010/8/9,0.071,
2010/8/10,0.07,
2010/8/11,0.067,
2010/8/12,0.07,
2010/8/13,0.0645,
2010/8/14,0.067,
2010/8/15,0.06529,
2010/8/16,0.0655,
2010/8/17,0.07,
2010/8/18,0.068,
2010/8/19,0.0667,
2010/8/20,0.0655,
2010/8/21,0.0664,
2010/8/22,0.066,
2010/8/23,0.06491,
2010/8/24,0.065,
2010/8/25,0.0648,
2010/8/26,0.064,
2010/8/27,0.065,
2010/8/28,0.0641,
2010/8/29,0.064,
2010/8/30,0.06497,
2010/8/31,0.06,
2010/9/1,0.0629,
2010/9/2,0.0634,
2010/9/3,0.06085,
2010/9/4,0.06238,
2010/9/5,0.0616,
2010/9/6,0.0616,
2010/9/7,0.061,
2010/9/8,0.062,
2010/9/9,0.06111,
2010/9/10,0.0618,
2010/9/11,0.06366,
2010/9/12,0.0615,
2010/9/13,0.06219,
2010/9/14,0.06199,
2010/9/15,0.0604,
2010/9/16,0.0619,
2010/9/17,0.059,
2010/9/18,0.061,
2010/9/19,0.0627,
2010/9/20,0.0621,
2010/9/21,0.06265,
2010/9/22,0.0622,
2010/9/23,0.06231,
2010/9/24,0.0622,
2010/9/25,0.06202,
2010/9/26,0.062,
2010/9/27,0.0622,
2010/9/28,0.0619,
2010/9/29,0.06191,
2010/9/30,0.0619,
2010/10/1,0.06197,
2010/10/2,0.0614,
2010/10/3,0.06111,
2010/10/4,0.0613,
2010/10/5,0.0614,
2010/10/6,0.06281,
2010/10/7,0.067,
2010/10/8,0.08685,
2010/10/9,0.0938,
2010/10/10,0.0965,
2010/10/11,0.095,
2010/10/12,0.0949,
2010/10/13,0.105,
2010/10/14,0.102,
2010/10/15,0.105,
2010/10/16,0.101,
2010/10/17,0.102,
2010/10/18,0.1024,
2010/10/19,0.097,
2010/10/20,0.099,
2010/10/21,0.107,
2010/10/22,0.1025,
2010/10/23,0.1055,
2010/10/24,0.115,
2010/10/25,0.132,
2010/10/26,0.1503,
2010/10/27,0.1877,
2010/10/28,0.1731,
2010/10/29,0.19,
2010/10/30,0.1989,
2010/10/31,0.1925,
2010/11/1,0.1955,
2010/11/2,0.1938,
2010/11/3,0.1931,
2010/11/4,0.23,
2010/11/5,0.26,
2010/11/6,0.39,比特币价格触碰$0.5，总市值达到100万美元
2010/11/7,0.34,
2010/11/8,0.243,
2010/11/9,0.21,
2010/11/10,0.24,
2010/11/11,0.2231,
2010/11/12,0.2682,
2010/11/13,0.276,
2010/11/14,0.279,
2010/11/15,0.2682,
2010/11/16,0.223,
